,ghi,dni,dhi,temp_air,wind_speed,Sim_Power,Target_Power,Error,beta,cv,NWP_GHI,NWP_DNI,NWP_DHI,NWP_Temp,NWP_Wind,NWP_Humidity,NWP_Cloud,NWP_Precip
2019-01-01 18:15:00+00:00,432.8945029592696,909.4899262259713,58.44329781393435,9.6,2.033333333333333,21.463194305406876,16.889532724000002,4.573661581406878,0.0,0.0,484.9475908669214,954.6843619348682,65.39777995589749,9.760102397562724,5.520876577818606,29.332183919200332,26.25,0.0
2019-01-01 18:30:00+00:00,457.0183785950588,920.4881960269198,59.77780950252091,10.1,1.8666666666666665,22.175571035828856,17.805286974,4.370284061828857,0.0,0.0,504.42585333879975,958.9292876782284,67.52375627659562,10.20461962379483,7.436018302353934,28.846912597823252,44.5,0.0
2019-01-01 18:45:00+00:00,479.3473673625231,931.3127555254185,60.536248486097634,10.5,1.7333333333333334,22.80573147538956,17.984857950666665,4.820873524722892,0.0,0.0,519.4327925875633,959.5716469067953,69.38898808286984,10.671827038129527,9.108150875712298,28.438184977534565,62.75,0.0
2019-01-01 19:00:00+00:00,497.68551278092787,938.6518041987825,61.626535133906266,10.966666666666667,1.6000000000000003,23.291856926127394,19.055342557333333,4.2365143687940625,0.0,0.0,529.9999989476937,957.0999988039099,70.99999917734064,11.0,10.2,28.0,81.0,0.0
2019-01-01 19:15:00+00:00,512.3949951472956,944.9652359892999,62.33220458928978,11.166666666666666,1.6000000000000003,23.721850372761082,19.654106612000003,4.06774376076108,0.0,0.0,537.7692225009959,948.0195103420705,76.57115009139511,11.072916142097222,10.473993314064446,27.460221210780368,61.0,0.0
2019-01-01 19:30:00+00:00,522.9583721292325,948.5501696630326,62.49134653395553,11.433333333333332,1.6000000000000003,23.995936438297377,20.062763646,3.9331727922973805,0.9197184671114957,0.3262508692757441,541.3032312030796,936.4444822207686,81.95938431483604,10.956362190143142,10.091366203717369,26.882170571016548,41.0,0.0
2019-01-01 19:45:00+00:00,530.7072471485216,951.7067743570989,63.14265021119683,11.633333333333333,1.5333333333333332,24.18906743472773,20.449138255333335,3.7399291793943927,1.3456620267707253,0.4252574613555335,540.67993842914,922.6128368248241,87.11825331923598,10.761627143117495,9.313055991511613,26.36303464574446,21.0,0.0
2019-01-01 20:00:00+00:00,533.869675291841,952.639643963949,63.03191543679787,11.833333333333334,1.5333333333333332,24.249939746930398,20.395949485333333,3.8539902615970654,1.2953500235594337,0.3662175702587402,535.9999989911772,906.6999988849005,91.99999896043963,10.6,8.4,26.0,1.0,0.0
2019-01-01 20:15:00+00:00,530.6599315961981,947.2820314197497,62.95968278080181,11.966666666666667,1.6666666666666667,24.143028222308743,19.945076416000003,4.197951806308741,1.2272634152913369,0.31853768500649565,520.3486680253392,829.4129680375255,116.95847049834452,10.557608034048409,7.575337665923623,25.858181237678213,0.75,0.0
2019-01-01 20:30:00+00:00,524.1183653236184,941.1066669670828,63.5724556170627,12.033333333333333,1.7333333333333334,23.95274595995941,20.292323122,3.6604228379594126,1.2821461390625657,0.27107691063167877,501.08484595060696,750.6918326672911,141.29331304036023,10.619931615632604,6.911016882776586,25.87440511811056,0.5,0.0
2019-01-01 20:45:00+00:00,515.9778811503429,933.837112165758,64.10272484008142,12.166666666666666,1.8666666666666665,23.665931315439234,20.429858818,3.236072497439231,1.2923860553539759,0.22161352805642928,478.52472975321444,670.9769024024622,164.7338457912369,10.7472893894005,6.44118765824126,25.95342643948763,0.25,0.0
