Time,Actual_Power,Pred_24h,Lower_24h,Upper_24h,Sigma_24h,Pred_4h,Lower_4h,Upper_4h,Sigma_4h
2019-10-22 08:45:00-08:00,6.202144938766668,7.825952219456972,6.64338127413409,9.008523164779852,0.603352523123919,8.393031976886617,7.181177236485459,9.604886717287775,0.6182932348985499
2019-10-22 09:00:00-08:00,7.783002147949999,8.905741343232794,7.666947629586556,10.144535056879032,0.6320376090031826,9.476071593027182,8.206861119130618,10.745282066923746,0.6475563642329408
2019-10-22 09:15:00-08:00,9.29111691865,9.961905334533032,8.666453649348682,11.257357019717382,0.6609447373389543,10.63383180056984,9.301645898229532,11.966017702910149,0.6796866848675042
2019-10-22 09:30:00-08:00,10.73605293965,10.9141529586498,9.566504938170269,12.26180097912933,0.6875755206528213,11.886771964238445,10.484924877190162,13.288619051286728,0.7152281056368792
2019-10-22 09:45:00-08:00,12.0263120315,11.867914220564485,10.467125493466382,13.268702947662588,0.7146881260704605,12.904663240928235,11.445297659530599,14.36402882232587,0.7445742762232836
2019-10-22 10:00:00-08:00,13.210864603,12.809343163326917,11.355394730865035,14.263291595788798,0.7418104247254497,14.059686191742687,12.534230215741,15.585142167744374,0.7782938653069834
2019-10-22 10:15:00-08:00,14.281286821666669,13.378881563853502,11.892478548744696,14.865284578962308,0.7583688852595948,14.924357893751683,13.348938880364408,16.49977690713896,0.8037852109118753
2019-10-22 10:30:00-08:00,15.292299004,14.206572601600543,12.672656572390867,15.74048863081022,0.7826102189845288,15.655018068442278,14.037096719277901,17.272939417606654,0.8254700761042737
2019-10-22 10:45:00-08:00,16.184707042666666,14.732562551036963,13.168258702296983,16.296866399776942,0.7981142085408061,16.552523816633894,14.882079335653827,18.22296829761396,0.8522675923367685
2019-10-22 11:00:00-08:00,16.9365589575,15.415886106843889,13.81190171728335,17.01987049640443,0.8183593824288465,16.990369211463644,15.294186465071256,18.686551957856032,0.8653993604042797
2019-10-22 11:15:00-08:00,17.633000299166667,15.746167088172045,14.122926858073189,17.369407318270902,0.8281837908667631,17.50191035574189,15.775569010486336,19.228251700997447,0.8807864006405896
2019-10-22 11:30:00-08:00,18.243166128500004,16.271262541213353,14.617312989072397,17.925212093354308,0.8438518123168142,17.903839031930833,16.1537384011246,19.653939662737066,0.8929084851052213
2019-10-22 11:45:00-08:00,18.760615390166667,16.53999760846339,14.870288399876424,18.209706817050357,0.8518924533606975,18.201139328323073,16.43343035433027,19.968848302315877,0.9018923336697977
2019-10-22 12:00:00-08:00,19.05886155,16.677515431305068,14.99973080735804,18.355300055252094,0.8560125632382793,18.78311106580974,16.980853883029532,20.58536824858995,0.9195189708062295
2019-10-22 12:15:00-08:00,19.435925978833332,16.730888678866116,15.049967896476286,18.411809461255945,0.8576126440764433,18.933376684271344,17.122182700843695,20.744570667698994,0.9240785629732907
2019-10-22 12:30:00-08:00,19.733363185,16.724663049128928,15.044108133888281,18.405217964369577,0.8574259771635955,19.115202221081372,17.293185761010655,20.93721868115209,0.9296002347299578
2019-10-22 12:45:00-08:00,19.952838337166668,16.778340979432937,15.094631046625032,18.46205091224084,0.8590356800040331,19.132811906032828,17.309746796674375,20.95587701539128,0.9301352598767616
2019-10-22 13:00:00-08:00,19.8757612005,16.68243108817947,15.004357670206225,18.360504506152715,0.8561599071292064,19.01127119002257,17.195441987683843,20.827100392361295,0.9264434705809828
2019-10-22 13:15:00-08:00,19.84734440933333,16.373042870557136,14.713127870673288,18.032957870440985,0.8468954081040041,18.928237810628037,17.11734956149931,20.739126059756764,0.9239225760860851
2019-10-22 13:30:00-08:00,19.859815194000003,16.262298025428482,14.60887369497964,17.915722355877325,0.8435838420657358,18.763862285460323,16.962749415727103,20.564975155193544,0.91893513761899
2019-10-22 13:45:00-08:00,19.61396208816667,15.915901445113013,14.28274712631331,17.549055763912715,0.8332419993876028,18.319950934202527,16.545197229949643,20.09470463845541,0.9054865838024919
2019-10-22 14:00:00-08:00,19.138004958,15.548708230941108,13.936985890019368,17.160430571862847,0.8223073167968058,18.04200695324546,16.28372650270662,19.800287403784296,0.897081862519815
2019-10-22 14:15:00-08:00,18.85442733266667,15.031743082110362,13.45009298252163,16.613393181699095,0.8069643365248633,17.465866550181556,15.741653211696175,19.190079888666936,0.8797006829007045
2019-10-22 14:30:00-08:00,18.4443814955,14.26600365899223,12.72866134919064,15.803345968793819,0.7843583213273416,16.91326329634126,15.22161831532835,18.60490827735417,0.8630841739861786
2019-10-22 14:45:00-08:00,17.690898129333334,13.653710285962758,12.151574594053962,15.155845977871554,0.766395761177957,16.409495635307223,14.747443105538803,18.071548165075644,0.8479859845757247
2019-10-22 15:00:00-08:00,16.9291087375,12.943929025762397,11.482330180408834,14.405527871115961,0.7457136966089607,15.515536915625907,13.905747803314451,17.125326027937362,0.8213209756691099
2019-10-22 15:15:00-08:00,16.093928102833335,12.072422328530292,10.660141157655396,13.484703499405189,0.7205516177933144,14.60526707861955,13.048330395232941,16.162203762006158,0.7943554507074531
2019-10-22 15:30:00-08:00,15.211788545499997,11.341350750670728,9.969997768896864,12.712703732444592,0.6996698886601347,13.727803589364635,12.22141878138446,15.234188397344811,0.768563677540906
2019-10-22 15:45:00-08:00,14.225929631666666,10.345557934102755,9.029190938487329,11.661924929718182,0.6716158140895039,12.634028387163266,11.190027356710122,14.07802941761641,0.736735219618951
2019-10-22 16:00:00-08:00,13.092521409,9.413372935416202,8.147527672230417,10.679218198601987,0.6458394199927473,11.124495659677336,9.765196495847306,12.483794823507367,0.693519981545934
2019-10-22 16:15:00-08:00,11.728829764833336,8.460549346862875,7.245170857633481,9.675927836092269,0.6200910659333643,9.990125147945248,8.693140617728206,11.28710967816229,0.6617268011311439
2019-10-22 16:30:00-08:00,10.2695103446,7.423013365189766,6.26087766283171,8.585149067547821,0.5929263787541097,8.941888610580179,7.701180551788674,10.182596669371684,0.6330143157099514
2019-10-22 16:45:00-08:00,8.742140581616667,6.4293903948407145,5.316047943851892,7.542732845829537,0.5680318627493994,7.985418605028206,6.794671662560836,9.176165547495577,0.6075239502384544
2019-10-22 17:00:00-08:00,7.193010505950001,5.363699365204762,4.299382048771401,6.428016681638123,0.5430190389966127,6.870898092534053,5.73618336125312,8.005612823814985,0.5789360873882309
2019-10-22 17:15:00-08:00,5.267483208233333,4.491384932839914,3.4635475349675175,5.51922233071231,0.5244068356491818,5.79498919310241,4.711324973254493,6.878653412950326,0.5528899080856717
2019-10-22 17:30:00-08:00,2.8339143245,3.4740590300100562,2.482329111514193,4.465788948505919,0.5059846522938077,4.895593841642618,3.8513509803568375,5.939836702928398,0.5327769700437653
2019-10-22 17:45:00-08:00,1.20080169085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-10-22 18:00:00-08:00,0.02929792965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-10-22 18:15:00-08:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-10-22 18:30:00-08:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-10-22 18:45:00-08:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-10-22 19:00:00-08:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-10-22 19:15:00-08:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-10-22 19:30:00-08:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-10-22 19:45:00-08:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-10-22 20:00:00-08:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-10-22 20:15:00-08:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-10-22 20:30:00-08:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-10-22 20:45:00-08:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-10-22 21:00:00-08:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
