,x_cs,sigma_1m,sigma_5m
2019-09-22T18:00:00-0700,0.7476095897705797,0.006696014671661432,0.0015611089092511618
2019-09-22T19:00:00-0700,0.19718743158713112,0.001820036057316792,0.00011640053174620693
2019-09-22T20:00:00-0700,0.0,0.00013529739655295954,2.443263312190168e-06
2019-09-22T21:00:00-0700,0.0,5.996212826360891e-06,1.0594304009002274e-06
2019-09-22T22:00:00-0700,0.0,7.509079839309213e-06,1.782445196112744e-06
2019-09-22T23:00:00-0700,0.0,6.943768578650691e-06,1.0507832381220714e-06
2019-09-23T00:00:00-0700,0.0,8.274579390954255e-06,2.528726256663395e-06
2019-09-23T01:00:00-0700,0.0,7.629955714856207e-06,1.1392576290979824e-06
2019-09-23T02:00:00-0700,0.0,8.571765142358235e-06,1.23098121286566e-06
2019-09-23T03:00:00-0700,0.0,7.068851423730743e-06,9.155063757185806e-07
2019-09-23T04:00:00-0700,0.0,7.606902049563318e-06,1.3574363604531792e-06
2019-09-23T05:00:00-0700,0.0,7.028948323242752e-06,1.8204797706913005e-06
2019-09-23T06:00:00-0700,0.0,8.67633183064167e-06,1.4022414165055378e-06
2019-09-23T07:00:00-0700,0.0,7.925718079753995e-06,9.550893325472805e-07
2019-09-23T08:00:00-0700,0.16813037796942648,0.0006434051911314431,0.00013962351975121975
2019-09-23T09:00:00-0700,0.3316020064323695,0.0019602845829882177,0.0008004059134827779
2019-09-23T10:00:00-0700,0.8256028275691419,0.0100727256952578,0.0023349922840670075
2019-09-23T11:00:00-0700,0.8968844793920872,0.0005547953427765532,0.00015525899514398766
2019-09-23T12:00:00-0700,0.8924510401601145,0.0006901284039223937,0.00014241898974585098
2019-09-23T13:00:00-0700,0.8993895083182938,0.0008017839345624588,0.00015769974847712226
2019-09-23T14:00:00-0700,0.896778899022398,0.0007820934411748729,0.000222434820546745
2019-09-23T15:00:00-0700,0.8927905310243716,0.0007899210458308332,0.00012912366451746054
2019-09-23T16:00:00-0700,0.8846806173088074,0.0008086768157540485,0.00014759258185835785
2019-09-23T17:00:00-0700,0.8848630909893734,0.0005992044537918252,0.00013625957915542095
2019-09-23T18:00:00-0700,0.8795894382421301,0.0004949533872748978,0.00011496626985234968
2019-09-23T19:00:00-0700,0.685746859290727,0.00025796392355800324,3.059398908189984e-05
2019-09-23T20:00:00-0700,0.0,0.0003117334613506619,0.0006001774967491792
2019-09-23T21:00:00-0700,0.0,7.626517562022794e-06,1.5738730984091763e-06
2019-09-23T22:00:00-0700,0.0,5.856345823378498e-06,8.806515678622371e-07
2019-09-23T23:00:00-0700,0.0,7.935455921681396e-06,1.914400989392484e-06
2019-09-24T00:00:00-0700,0.0,7.630415946118826e-06,2.204290682942944e-06
2019-09-24T01:00:00-0700,0.0,8.352230441627739e-06,1.038444425906804e-06
2019-09-24T02:00:00-0700,0.0,8.761966996261174e-06,1.9027947005810846e-06
2019-09-24T03:00:00-0700,0.0,9.23822095105735e-06,2.2340864340101966e-06
2019-09-24T04:00:00-0700,0.0,7.198845603109075e-06,1.4449114505928603e-06
2019-09-24T05:00:00-0700,0.0,7.301453872753469e-06,1.3113717567895909e-06
2019-09-24T06:00:00-0700,0.0,6.631388615579394e-06,9.534139109597752e-07
2019-09-24T07:00:00-0700,0.0,7.802619589903056e-06,1.729318576671865e-06
2019-09-24T08:00:00-0700,0.25263398528753206,7.992786217425665e-05,2.0294235023246493e-05
2019-09-24T09:00:00-0700,0.7583021557359338,0.0012923075442939332,0.00040502913816773897
2019-09-24T10:00:00-0700,0.8826221625344224,0.0008813343285651842,0.00013899465129875823
2019-09-24T11:00:00-0700,0.8979356023809447,0.0005729847860942136,8.292850465349861e-05
2019-09-24T12:00:00-0700,0.898279764321363,0.0007888400267461164,9.94592446655942e-05
2019-09-24T13:00:00-0700,0.8989808718432716,0.0007826340030723461,0.0002849543348816704
2019-09-24T14:00:00-0700,0.8945675678611058,0.0005502856110083158,0.00017630725447205156
2019-09-24T15:00:00-0700,0.8818472159259824,0.0006822949101869344,0.00018776255929188227
2019-09-24T16:00:00-0700,0.879419738326859,0.000626510582114148,0.00021823664706458802
2019-09-24T17:00:00-0700,0.8733843869235393,0.0006066646200311805,0.00014687420937669452
2019-09-24T18:00:00-0700,0.8390472624891476,0.00041980242907540096,6.325815297495856e-05
2019-09-24T19:00:00-0700,0.6555694053634338,0.00024400431841059252,7.439773724287978e-05
2019-09-24T20:00:00-0700,0.0,0.00013250634044813695,0.00011214498749618003
2019-09-24T21:00:00-0700,0.0,7.114480052933056e-06,1.6316372339860351e-06
2019-09-24T22:00:00-0700,0.0,7.612525806337565e-06,1.7366431944173658e-06
2019-09-24T23:00:00-0700,0.0,8.404945716672235e-06,1.9010971483219519e-06
2019-09-25T00:00:00-0700,0.0,7.524962993704745e-06,1.9124688105465675e-06
2019-09-25T01:00:00-0700,0.0,6.5372352407026695e-06,1.0246915566056135e-06
2019-09-25T02:00:00-0700,0.0,6.948476455888673e-06,1.3455593249319333e-06
2019-09-25T03:00:00-0700,0.0,7.633160445822342e-06,1.0392032659810147e-06
2019-09-25T04:00:00-0700,0.0,7.6289395185677555e-06,1.7803987905675466e-06
2019-09-25T05:00:00-0700,0.0,6.913016705045654e-06,1.483314216261602e-06
2019-09-25T06:00:00-0700,0.0,8.783191085515274e-06,1.2219482365795568e-06
2019-09-25T07:00:00-0700,0.0,0.0003160353083467477,0.00010714673352486996
2019-09-25T08:00:00-0700,0.16692900652219048,0.0009726324105482758,0.00018068321468333565
2019-09-25T09:00:00-0700,0.696730535193306,0.0010431581667247295,0.0004195026435908344
2019-09-25T10:00:00-0700,0.8675781930200036,0.0006650519013048859,0.0002445043273796895
2019-09-25T11:00:00-0700,0.8735675162012836,0.0009410212308153638,0.00016848903294588337
2019-09-25T12:00:00-0700,0.878436504618982,0.008976006826961654,0.003549545499161918
2019-09-25T13:00:00-0700,0.727977556965708,0.04245405513566103,0.011573083765112032
2019-09-25T14:00:00-0700,0.6765414225520222,0.046014614293190224,0.011038526822441375
2019-09-25T15:00:00-0700,0.9074858708656621,0.0006186088201372514,8.349161382303655e-05
2019-09-25T16:00:00-0700,0.8814155076349195,0.0004253178382612908,0.00016619601348487984
2019-09-25T17:00:00-0700,0.8510612352586465,0.0004028264256250923,8.647903060435405e-05
2019-09-25T18:00:00-0700,0.7986266535729949,0.0004008938936092897,7.278558258816733e-05
2019-09-25T19:00:00-0700,0.5432190895196938,0.0003588572478757229,0.00011735749130859875
2019-09-25T20:00:00-0700,0.0,0.0006182706551457651,0.00019599423353626732
2019-09-25T21:00:00-0700,0.0,7.946125073149132e-06,1.3704018136294142e-06
2019-09-25T22:00:00-0700,0.0,7.585070722245055e-06,1.2800954597423411e-06
2019-09-25T23:00:00-0700,0.0,6.365467366958217e-06,9.177334792068836e-07
2019-09-26T00:00:00-0700,0.0,7.098170156671974e-06,1.0151170792270028e-06
2019-09-26T01:00:00-0700,0.0,5.966635710545377e-06,9.6618943931678e-07
2019-09-26T02:00:00-0700,0.0,7.510033057754827e-06,9.9760087735048e-07
2019-09-26T03:00:00-0700,0.0,6.464312666032319e-06,1.2545653557950038e-06
2019-09-26T04:00:00-0700,0.0,6.954756546137687e-06,1.540661436424754e-06
2019-09-26T05:00:00-0700,0.0,7.897960004834034e-06,1.0508429568537753e-06
2019-09-26T06:00:00-0700,0.0,6.753383231022379e-06,1.976884374534279e-06
2019-09-26T07:00:00-0700,0.0,0.0002883113648387523,6.794466567244177e-05
2019-09-26T08:00:00-0700,0.32581353948909375,0.0004460292172092783,4.2314035151772716e-05
2019-09-26T09:00:00-0700,0.7351135664083553,0.00044352713661424795,7.658201315487128e-05
2019-09-26T10:00:00-0700,0.8375430265108983,0.000742336964505794,0.00010633713191778409
2019-09-26T11:00:00-0700,0.8698971962931644,0.0007940722674031112,0.00017319600148465355
2019-09-26T12:00:00-0700,0.8931781112989173,0.0006958195459520284,0.00022346444306943562
2019-09-26T13:00:00-0700,0.8989858940683371,0.0007709250885378578,0.000196277868889447
2019-09-26T14:00:00-0700,0.8932314464719492,0.0008362486890151768,0.0001583045727893063
2019-09-26T15:00:00-0700,0.8862286327850369,0.001057301273127402,0.000193077888737949
2019-09-26T16:00:00-0700,0.8984586328437664,0.0007791849852952786,0.00015339562757839316
2019-09-26T17:00:00-0700,0.8952495092400002,0.0014473973303350616,0.0004338060533821689
2019-09-26T18:00:00-0700,0.8779395609943371,0.00041801747343509226,0.00010535126431460109
2019-09-26T19:00:00-0700,0.5283620953777303,0.0004947559762747243,0.00012021630318665586
2019-09-26T20:00:00-0700,0.0,0.000528229958522407,8.271090463113159e-05
2019-09-26T21:00:00-0700,0.0,7.340262167334463e-06,1.7280065971623761e-06
2019-09-26T22:00:00-0700,0.0,7.6058098099674704e-06,9.359743502894331e-07
2019-09-26T23:00:00-0700,0.0,5.853789714918695e-06,1.2238158856859308e-06
2019-09-27T00:00:00-0700,0.0,7.629799783295371e-06,1.1367153378987184e-06
2019-09-27T01:00:00-0700,0.0,7.592876789070169e-06,1.2109611347234684e-06
2019-09-27T02:00:00-0700,0.0,7.547530101293372e-06,1.5876241233627527e-06
2019-09-27T03:00:00-0700,0.0,7.0175702415274376e-06,1.2574921662804604e-06
2019-09-27T04:00:00-0700,0.0,6.367517344841606e-06,1.1822386578409113e-06
2019-09-27T05:00:00-0700,0.0,5.441522228343549e-06,1.2677246962102625e-06
2019-09-27T06:00:00-0700,0.0,6.45158724626183e-06,1.2612576101975144e-06
2019-09-27T07:00:00-0700,0.0,0.00039459360613471734,9.085919009840523e-05
2019-09-27T08:00:00-0700,0.1833096267454533,0.0021960617681164554,0.0002745209976465063
2019-09-27T09:00:00-0700,0.3349442923250757,0.01580857520277945,0.004198906459366709
2019-09-27T10:00:00-0700,0.7663165567297348,0.03010009452188381,0.008227651140768098
2019-09-27T11:00:00-0700,0.9134483317714958,0.028186392065752203,0.00904331969822358
2019-09-27T12:00:00-0700,0.9216638562950991,0.0008743979531686259,0.0002491387448791576
2019-09-27T13:00:00-0700,0.9301773295170414,0.0009252897675841731,0.00027316742602223566
2019-09-27T14:00:00-0700,0.9212583639326113,0.0013215915517728633,0.00029283569923918486
2019-09-27T15:00:00-0700,0.9155294166949288,0.001053180115560423,0.00023629010422153738
2019-09-27T16:00:00-0700,0.918029437344537,0.0006379017389563045,0.00014911571952828028
2019-09-27T17:00:00-0700,0.9197758525060336,0.0005020254732814107,8.131411448193145e-05
2019-09-27T18:00:00-0700,0.9304931414241849,0.0004350316652584648,6.68423088786565e-05
2019-09-27T19:00:00-0700,0.5839149585809787,0.000776204012777229,0.0001900528038006196
2019-09-27T20:00:00-0700,0.0,0.0004776169450901265,4.389635438258004e-05
2019-09-27T21:00:00-0700,0.0,7.212224028761172e-06,6.11267409802466e-07
2019-09-27T22:00:00-0700,0.0,5.841548004500308e-06,1.2649344911608929e-06
2019-09-27T23:00:00-0700,0.0,7.634698727696679e-06,9.991076509266436e-07
2019-09-28T00:00:00-0700,0.0,6.603986888579804e-06,8.755673772977128e-07
2019-09-28T01:00:00-0700,0.0,7.708503754132693e-06,1.6531991180659139e-06
2019-09-28T02:00:00-0700,0.0,9.039243079444832e-06,1.458181214567414e-06
2019-09-28T03:00:00-0700,0.0,9.347426603936701e-06,1.5876992096566242e-06
2019-09-28T04:00:00-0700,0.0,8.638220378657476e-06,1.7359117449148301e-06
2019-09-28T05:00:00-0700,0.0,9.512211369779596e-06,1.0751995142789144e-06
2019-09-28T06:00:00-0700,0.0,8.049448502909244e-06,1.1419523889348606e-06
2019-09-28T07:00:00-0700,0.0,0.00035204965139791467,9.086463397863138e-05
2019-09-28T08:00:00-0700,0.35906428915894395,0.00039744183914325787,9.942409089437562e-05
2019-09-28T09:00:00-0700,0.7678402834242407,0.00046910865229015243,9.272154884350798e-05
2019-09-28T10:00:00-0700,0.8663209095859126,0.000775367193217626,0.00012923489315343694
2019-09-28T11:00:00-0700,0.9124521609003137,0.0019191964400634563,0.00026047963782838157
2019-09-28T12:00:00-0700,0.9244073691997102,0.016823874395285623,0.0024657564581479947
2019-09-28T13:00:00-0700,0.9367884701790017,0.004979957893579008,0.0005615507917507904
2019-09-28T14:00:00-0700,0.9206402808707619,0.0011927929980615098,0.0002534077860874339
2019-09-28T15:00:00-0700,0.9193599280579748,0.001243572485436672,0.000173749688024225
2019-09-28T16:00:00-0700,0.9235269065205199,0.001072747377131473,0.0002061482564548874
2019-09-28T17:00:00-0700,0.9262507095073752,0.0008306892699027843,0.00013814085405846566
2019-09-28T18:00:00-0700,0.913988613238309,0.0005258666249694665,0.00010270408515994038
2019-09-28T19:00:00-0700,0.5446770003704684,0.0005867260298397606,0.0003613768664355022
2019-09-28T20:00:00-0700,0.0,6.111457679188658e-05,4.8309814671909415e-05
2019-09-28T21:00:00-0700,0.0,7.3018256725865755e-06,1.3247214785096226e-06
2019-09-28T22:00:00-0700,0.0,5.668532588078739e-06,1.9260066178638775e-06
2019-09-28T23:00:00-0700,0.0,9.677920820106114e-06,1.63003765556778e-06
2019-09-29T00:00:00-0700,0.0,8.618228669317852e-06,9.028839604063285e-07
2019-09-29T01:00:00-0700,0.0,7.94767235222281e-06,1.2108228247869835e-06
2019-09-29T02:00:00-0700,0.0,8.627301318241538e-06,1.47192583463069e-06
2019-09-29T03:00:00-0700,0.0,8.690956891726393e-06,2.122215810810957e-06
2019-09-29T04:00:00-0700,0.0,1.018655071312559e-05,2.433655352098572e-06
2019-09-29T05:00:00-0700,0.0,7.0220398324809524e-06,1.2258613516665756e-06
2019-09-29T06:00:00-0700,0.0,7.205932743536885e-06,9.5866395900015e-07
2019-09-29T07:00:00-0700,0.0,0.00032462573297315666,8.128110004338393e-05
2019-09-29T08:00:00-0700,0.33954028720092594,0.0004069251693953793,6.639751056264129e-05
2019-09-29T09:00:00-0700,0.769291759745593,0.0003806495418239333,5.740982785360309e-05
2019-09-29T10:00:00-0700,0.8704171031845591,0.0011615680201929042,0.00013175209959706083
2019-09-29T11:00:00-0700,0.8995795927229587,0.008742543987535874,0.0003118726144170242
2019-09-29T12:00:00-0700,0.8988122671979589,0.03959553758075825,0.008135663819943451
2019-09-29T13:00:00-0700,0.8606197053714374,0.07597432172303067,0.01106752927707182
2019-09-29T14:00:00-0700,0.886930004659435,0.027465901401269765,0.0059850474331927805
2019-09-29T15:00:00-0700,0.6145540535938732,0.05278796049698631,0.008824610651108176
2019-09-29T16:00:00-0700,0.8709903690764165,0.04444046738202777,0.006799110812590931
2019-09-29T17:00:00-0700,0.8710506798577253,0.034821004639416855,0.003241327730519257
2019-09-29T18:00:00-0700,0.853246925601812,0.0005733885109356434,0.0001251447517419077
2019-09-29T19:00:00-0700,0.38707408008229344,0.0009067475841674994,0.00014172517873911123
2019-09-29T20:00:00-0700,0.0,0.0004822891564152625,3.079624507212538e-05
2019-09-29T21:00:00-0700,0.0,6.885365577540973e-06,1.3835420809756694e-06
2019-09-29T22:00:00-0700,0.0,7.318153601466476e-06,1.7391248519557196e-06
2019-09-29T23:00:00-0700,0.0,8.401494457727846e-06,2.2214511090973e-06
2019-09-30T00:00:00-0700,0.0,9.038134434350872e-06,1.6220223001918728e-06
2019-09-30T01:00:00-0700,0.0,7.537806316246166e-06,8.854006910404012e-07
2019-09-30T02:00:00-0700,0.0,8.609736364606545e-06,1.020245381809731e-06
2019-09-30T03:00:00-0700,0.0,8.388734745780173e-06,1.5861170555510145e-06
2019-09-30T04:00:00-0700,0.0,8.084145219080976e-06,1.759886809087443e-06
2019-09-30T05:00:00-0700,0.0,8.118572877741633e-06,2.0926535462440397e-06
2019-09-30T06:00:00-0700,0.0,7.844338409681228e-06,9.490923557229012e-07
2019-09-30T07:00:00-0700,0.0,9.856081370529018e-06,2.2447227330449318e-06
2019-09-30T08:00:00-0700,0.4009791846670607,0.000180151696969226,9.716831902931665e-05
2019-09-30T09:00:00-0700,0.7373061074599173,0.006731647179959785,0.0022534589030553595
2019-09-30T10:00:00-0700,0.8862761933586893,0.013351033681283198,0.008445514275145437
2019-09-30T11:00:00-0700,0.8961458388306057,0.039206490531173414,0.01019837518289701
2019-09-30T12:00:00-0700,0.9168295870743272,0.024636370655879782,0.00225084664194785
2019-09-30T13:00:00-0700,0.8959920589636241,0.03769784302834163,0.00753476199932054
2019-09-30T14:00:00-0700,0.9161899165277272,0.0010346601740971858,0.00025347634131019895
2019-09-30T15:00:00-0700,0.9167702855961228,0.0013481482890898375,0.00033633484364342306
2019-09-30T16:00:00-0700,0.9200725004364695,0.0009319797623715481,0.00020638725486419685
2019-09-30T17:00:00-0700,0.9056116041957358,0.011579734481867101,0.003008229829285488
2019-09-30T18:00:00-0700,0.895832770502113,0.00035762651509457354,5.8401454472382205e-05
2019-09-30T19:00:00-0700,0.49965151797509927,0.00013526792722195536,3.7429770818060656e-05
2019-09-30T20:00:00-0700,0.0,0.00018020482310345708,0.0003509019405252191
2019-09-30T21:00:00-0700,0.0,5.46304469211689e-06,7.793592763465196e-07
2019-09-30T22:00:00-0700,0.0,6.1261679422227805e-06,1.2000121615343898e-06
2019-09-30T23:00:00-0700,0.0,7.330128981865475e-06,1.0998779385855287e-06
2019-10-01T00:00:00-0700,0.0,6.8945493336816124e-06,1.514072679883308e-06
2019-10-01T01:00:00-0700,0.0,8.107451388865363e-06,1.3533888783133799e-06
2019-10-01T02:00:00-0700,0.0,8.435184822752178e-06,1.622173722512742e-06
2019-10-01T03:00:00-0700,0.0,8.202295354220206e-06,8.07473652640045e-07
2019-10-01T04:00:00-0700,0.0,6.670831102395317e-06,1.287165500183247e-06
2019-10-01T05:00:00-0700,0.0,8.141375551214749e-06,1.2306814870839674e-06
2019-10-01T06:00:00-0700,0.0,8.160710343393622e-06,1.3901431226440832e-06
2019-10-01T07:00:00-0700,0.0,8.914002950068793e-06,1.283581666134692e-06
2019-10-01T08:00:00-0700,0.3758308859872252,0.00014275297090012693,4.084294764745073e-05
2019-10-01T09:00:00-0700,0.7764143079235125,0.00047366995495442133,5.948013187860875e-05
2019-10-01T10:00:00-0700,0.8763856180865256,0.0006786759870385706,7.578328550021306e-05
2019-10-01T11:00:00-0700,0.9039985289246403,0.0006051693156794785,0.0001510371157454234
2019-10-01T12:00:00-0700,0.9026707300853596,0.000766799098240157,0.000253639666145905
2019-10-01T13:00:00-0700,0.9188014044568814,0.0009632205427656279,0.00021473235436054858
2019-10-01T14:00:00-0700,0.9304636119700059,0.0009549227387209952,0.00031883215986799857
2019-10-01T15:00:00-0700,0.9164688514383209,0.0007366902467208409,0.00012779882217382063
2019-10-01T16:00:00-0700,0.9173684884669638,0.000750021432855618,0.0001824011885783448
2019-10-01T17:00:00-0700,0.9249382513112874,0.0004689959081823126,5.5067655750433087e-05
2019-10-01T18:00:00-0700,0.9516760375621787,0.0003336233330962465,4.7217872702829956e-05
2019-10-01T19:00:00-0700,0.5085322428476986,0.00024160300774714793,0.00014417805086802137
2019-10-01T20:00:00-0700,0.0,5.6396747728157325e-05,5.976618764899969e-05
2019-10-01T21:00:00-0700,0.0,8.426880126753945e-06,1.4067570788261474e-06
2019-10-01T22:00:00-0700,0.0,6.6661481778777914e-06,1.220488296251333e-06
2019-10-01T23:00:00-0700,0.0,6.520536127388431e-06,1.4266469856666394e-06
2019-10-02T00:00:00-0700,0.0,5.840564223939675e-06,9.590520022264106e-07
2019-10-02T01:00:00-0700,0.0,7.649042648512621e-06,1.5323604098061687e-06
2019-10-02T02:00:00-0700,0.0,7.238270565636133e-06,1.3873982137681175e-06
2019-10-02T03:00:00-0700,0.0,1.0151149920436894e-05,1.602286415328539e-06
2019-10-02T04:00:00-0700,0.0,9.395958405873712e-06,1.7719749926467838e-06
2019-10-02T05:00:00-0700,0.0,7.022708575547827e-06,8.308712177853484e-07
2019-10-02T06:00:00-0700,0.0,8.999914256768804e-06,1.4607917529189126e-06
2019-10-02T07:00:00-0700,0.0,1.2818868921244437e-05,1.7616152893774578e-05
2019-10-02T08:00:00-0700,0.3193281881189756,8.420172924638962e-05,2.337779455391813e-05
2019-10-02T09:00:00-0700,0.7958930905333285,0.00022036376414498885,3.086289378494595e-05
2019-10-02T10:00:00-0700,0.8937173761744636,0.0005998129073372182,7.29805478402653e-05
2019-10-02T11:00:00-0700,0.9146717347890897,0.0006378536187045121,9.707974036863377e-05
2019-10-02T12:00:00-0700,0.9154728325660645,0.0007567145866562954,0.0002635049205902369
2019-10-02T13:00:00-0700,0.919205676344233,0.0007574832846949999,0.00025221067968945565
2019-10-02T14:00:00-0700,0.9169449344057637,0.0010482218568719005,0.00022498037879209874
2019-10-02T15:00:00-0700,0.9163975743247562,0.0007474853993135143,0.0001766979663900145
2019-10-02T16:00:00-0700,0.9235265961561914,0.0006302185182270557,0.0001352494319419416
