Actual_Power_Fixed,Pred_Ridge,Pred_RandomForest,Pred_XGBoost,Pred_MLP,Pred_LSTM,Pred_CNN,Pred_Transformer(Baseline),Pred_PiT-Net(Proposed)
0.8916890355333335,0.6968248569305128,1.492533376146048,1.737629,2.0770836,1.3301101,0.4381315,2.1389596741916748,1.254288799866777
0.9181044102666666,0.2611227978901299,1.9721385851731936,3.6998188,1.2732104,1.920523,1.221802,2.656286941528541,1.5220933992419243
0.947610339,1.0772323720428645,1.7911927097186666,0.0,0.68947893,0.12080951,0.0,1.37275210524987,0.5389228720985932
0.9620658751333332,0.9105937672223924,1.8155184327040568,0.29854986,0.42883125,0.999609,0.91605806,1.7505445550428418,0.7483491115432649
0.9644175754,1.3514381613100528,2.9188532550870927,1.996559,2.3024633,1.6021948,1.7396325,2.5697648182006287,1.6634362118807928
0.9869703864,0.2335194406236063,0.3087823619026762,0.50124747,0.0,0.12250452,0.36495999,1.022664880150148,0.3443158098232028
0.9931741435333332,0.4886781725980087,0.4644731230148807,0.5320302,0.5717654,0.8189368,0.68670374,1.471056522383083,0.4899105346377705
1.0029751074,2.908980441013513,2.114827315323241,2.5485032,0.8694162,2.980078,0.8335457,2.5163226830544336,2.112814127024921
1.005707237,0.5724016582704314,0.5084790667993744,0.98905903,0.4840579,0.048132427,2.572783,1.6533278537006566,0.5562786370293588
1.0066952612,0.8321129678779993,0.2605066602884578,1.1066875,1.0603968,0.72616255,0.0,1.6328652468604348,0.8324520078000253
1.0202672265333332,3.5532259275611917,2.463738843707923,1.6202644,0.70827985,0.7358779,1.0425844,4.103542466015156,1.757612174077214
1.0410830096666668,1.3827170018246748,2.167419277408452,1.5492758,2.1560066,1.8910556,2.3177876,1.130854021404626,0.6365585704697103
1.0422075895333334,0.9318526739339864,0.8069038215444445,0.7765469,1.9104003,1.4753293,2.2183166,1.7812483435410291,0.95917008247453
1.045210472,0.0,1.125344365867059,2.0325673,0.8484683,2.9990158,1.9429711,2.7605365824149453,1.4066338677959629
1.0492834415333332,1.5188122247983415,2.7407991268956486,2.2119977,2.1650062,1.172811,3.586831,3.713311249778768,2.3750190954271795
1.0534170823333333,7.963966511883274,7.410331301822558,7.0824966,7.4662366,2.7249868,10.671598,7.131543535855128,6.495793397216567
1.0540269709333334,0.9652638778035644,0.4819565969631726,0.708883,3.2909012,1.0605371,2.5305696,1.5019090075325658,0.89546194892258
1.0550264283369897,0.6445910652887223,0.6768170898774467,0.50080675,0.47694156,0.6479045,0.56664157,0.6126269889769858,0.2050924143691682
1.0621640728666666,0.6592757678657734,1.1371301010688468,0.5739238,0.5388547,0.44717863,1.4074906,1.5699884203889072,0.6107026656476765
1.0641159681333334,1.6419637526264732,0.924574015307268,0.54676855,2.136409,1.480912,0.0,0.855317928642053,0.5089122578014623
1.0689799005333334,0.2009603221608325,0.53387347736726,1.1643429,0.0,0.43079334,0.8524639,1.6333827346604763,0.7475460374931308
1.0696618249333334,4.630649242838392,4.604551058831374,2.7869682,2.9293087,1.8990037,4.165078,6.29755679444346,3.2289319779381374
1.0718964800666668,1.417531898932476,0.6199299526134432,0.6111363,0.8724048,1.1227558,1.7525158,1.8108396259345363,0.9927417605897896
1.0725393054,2.6536224854499197,3.778345076073013,3.372723,2.6447937,2.8270242,2.6726477,4.592757642945499,3.393991905910269
1.0768257004,1.5205350661092136,2.280396368607476,1.4158757,1.8750447,1.6195881,1.3600342,1.1246009210039982,0.7479668116793444
1.0996744486666667,0.938834420204432,2.66472824323204,0.0,2.5818808,3.1234355,2.4842262,4.015422563548458,2.5303373788400045
1.1088004285333335,0.5310319695353877,2.2996366328188653,1.1508101,1.8732398,2.5847075,1.982187,3.265891145666026,2.020764744307933
1.1129042782666667,2.15901768303518,3.577186293705661,3.3021376,3.0189238,1.3196064,2.458169,3.791549054393421,2.7930464367774923
1.125964355,4.69801371999945,5.411946924250491,10.067812,2.3758044,2.529264,3.094681,9.414226500416186,4.590195418293478
1.1366103223314166,0.5902071667094733,0.5065928150327221,0.37338617,0.34862402,0.6714037,0.0,0.6391483183898342,0.1872599619490734
1.1409260971333337,4.05070782246942,5.195443742698494,3.8645658,4.91222,1.0366238,4.013617,5.840939738712087,4.999995377276126
1.1530163773333333,0.0,0.7528340527774773,2.4100237,0.4697453,1.0558989,2.671075,1.771864801827648,0.8177575137242832
1.1613686036666666,1.9338603317843384,0.7315317892981417,1.226594,2.0881946,1.2575915,2.2474182,1.9569218277053413,1.4821556364348036
1.1730275198,1.9211860422561968,2.979169238765257,2.1666448,1.2484657,1.1855222,1.4835682,1.606560114025185,0.8646317688067491
1.1850955836,1.710824722298968,2.330144279079029,1.4045311,3.0557265,3.158366,3.3006442,1.558653675522383,1.0683870512602436
1.1862941723333336,1.4585577269469243,2.3467280406960573,1.7401563,3.168039,3.2548006,3.1485415,1.3165359652597386,0.9667961914733818
1.188188481642566,0.2297936296570495,0.4858855709179041,0.38562536,0.096681386,0.6497294,0.0,0.6149775233274619,0.1935411803902749
1.1979439216451349,0.4084246063933114,0.4858855709179041,0.47938403,0.21194366,0.3562074,0.1540712,0.6212756194424329,0.1886851547182147
1.2059171564,2.819971447000098,4.09048639697794,3.6187334,5.7021875,4.563436,3.6616619,3.050734899058974,2.175129988917
1.2080479468,3.2854978409580755,4.501981111862254,1.5402548,3.7743876,1.380305,3.213572,4.700977357618145,3.898696767131312
1.2111905544666668,3.997347403804171,4.214289373489482,3.662216,2.342712,1.3368416,3.0509272,5.382553166394905,2.697797281061979
1.2132079516,3.117424619343566,2.149570274745221,2.604365,2.2324123,1.7525675,2.9516127,3.577586891623925,2.104495229961511
1.2206110108613688,1.4430111473958884,1.4721647354921066,1.5035622,1.9867833,1.9130288,1.4737989,1.7184120809312886,1.081028066116578
1.2264456927333334,8.744881481943656,8.34318281310071,7.7807436,8.156337,3.280669,11.708395,7.964230075955181,7.199798933297718
1.2277661425333333,0.5602740483700112,0.9145093007282814,2.0289347,0.82816225,0.41458362,1.5042033,2.385822100191988,1.3681519451048705
1.2399744162126811,1.2364816939031549,1.5896714278248183,1.4110465,2.8075914,1.7548008,1.3153102,1.6324290879771048,0.9734904621394044
1.2400759176666667,4.396919526861763,1.8072286721442503,6.0338774,13.564541,5.7806077,5.764408,8.663463210379875,8.4127799769845
1.2432346623333337,6.464460583713279,5.389641838246083,5.9229193,4.439446,4.324728,6.1586585,7.80463003369319,4.631812929021953
1.2661913205333335,1.5337343831991217,0.9707938280939168,1.2693241,1.4944896,1.5375521,1.2852657,2.451712003823095,1.071404068044865
1.2697526506666663,7.2494884064418414,9.505090405718752,1.0883399,3.7490525,15.279385,17.213966,21.219672537390267,8.363047574794452
1.2712338164,4.090283492497536,8.120070131067067,3.0484507,5.0416784,4.5124316,6.5677147,12.059880537794225,6.0893947047932135
1.2731227622,5.909005547006028,4.060856948845164,6.09747,14.730713,11.329216,9.568195,10.86206649571414,11.348016163444722
1.2848549699333331,1.57814934590402,2.18406456013548,0.19552922,1.0899141,0.39351177,0.0,2.1579843032135164,1.0845929411190944
1.2859540323483694,0.5310660361707534,0.4858855709179041,0.5481606,0.64692485,0.7041377,0.11191024,0.6305911535156203,0.2177820721051703
1.3132805489333337,3.920785365924528,2.640962150949519,2.8329766,0.9549764,3.2147489,1.3412927,3.542821202793576,3.3655596823998057
1.3344025087333335,9.41119119721071,9.04184812256702,8.375833,11.215274,3.1508455,7.7817173,10.101760207318335,9.276291829720677
