Regime,Actual_Power_Fixed,Pred_Ridge,Pred_RandomForest,Pred_XGBoost,Pred_MLP,Pred_LSTM,Pred_CNN,Pred_PiT-Net(Proposed)
Clear Sky,12.461835917034284,13.447831719254562,13.07046335560706,13.38945,13.463195,13.322032,14.458732,13.08180585779998
Clear Sky,12.47329356434689,13.732038705767522,13.075382574467168,12.864204,12.968668,13.522393,13.08278,13.238695843063573
Clear Sky,12.530522315654656,13.484841269018204,12.985867584551922,12.711731,14.381478,13.720791,12.933814,12.753321424152082
Clear Sky,12.601240958666668,11.852968222658852,11.51006618858604,12.2000265,13.150791,12.480228,11.672134,11.871278199119326
Clear Sky,12.623358185527962,10.054970170202326,9.67350117942287,10.146811,9.465364,9.570675,10.000163,10.06571620536282
Clear Sky,12.683995571266664,13.422053643377202,12.744322812317812,12.679904,14.053884,12.535134,12.32564,11.99286873854036
Clear Sky,12.685700828666668,12.390421413680492,11.232985385130585,12.145694,12.306804,11.95758,11.384402,12.704193878746828
Clear Sky,12.691572884933334,9.319036977755518,10.267518196033173,11.540643,10.633065,9.779384,9.635262,10.679915853107238
Clear Sky,12.694329789333333,10.1331761177357,11.121018800225649,11.303519,12.776411,11.167381,10.250881,12.563201084918711
Clear Sky,12.701874493333332,10.437501166073606,11.71170481141987,13.321118,13.484463,9.582214,11.052402,13.059418965192648
Clear Sky,12.725656693159218,14.531306070346144,14.21512845295038,14.254128,14.731147,14.339436,13.76746,14.171302330611654
Clear Sky,12.757708029999998,11.76889875007575,12.63554679225324,12.7831955,14.22564,12.345617,11.63242,12.097651919507896
Clear Sky,12.772025925333333,12.242772372720207,11.289026181218256,13.2673025,11.67879,12.448396,11.094261,12.656345175975048
Clear Sky,12.789333186666669,13.01051410735235,11.510401017194122,12.489271,13.564262,8.477655,10.9956045,13.304487930503154
Clear Sky,12.801511324000002,12.290465124555038,11.507362144879654,12.320949,13.209166,13.217004,11.87311,11.892738166163642
Clear Sky,12.8079264798,11.042258079773632,11.773763936187068,11.378872,11.958608,11.200748,11.301733,12.167669817562546
Clear Sky,12.815503388466666,13.33042476124606,13.007959275880884,12.617084,13.59761,12.586562,12.696435,11.977827759004994
Clear Sky,12.838930862,12.760409821065144,11.232985385130585,12.449082,12.550737,12.03913,11.486419,12.875541114242631
Clear Sky,12.839379148,12.498673745086826,11.232985385130585,12.180303,12.255039,12.112587,11.492958,12.67544836733156
Clear Sky,12.845623327221794,10.27192105127549,10.778684180454684,11.134494,13.368748,12.300143,8.807144,11.610101866804657
Clear Sky,12.864126264,12.645500697347112,11.58963005102989,11.525251,13.185892,12.132188,10.329927,12.742040528111312
Clear Sky,12.872943499333331,12.59750583504592,11.232985385130585,12.985478,15.8267,10.592866,10.776975,12.990421338286785
Clear Sky,12.875348292666668,12.386728508607984,11.827631719719118,11.661637,13.07346,9.893778,10.823788,12.704021015605647
Clear Sky,12.894824363308182,10.061246737238635,11.036012808418622,10.519268,12.499341,11.215772,10.704301,11.634314690783926
Clear Sky,12.909921452,11.493660786140104,11.599208432889514,14.304975,12.766591,11.34603,12.556346,13.38221267469898
Clear Sky,12.946203579751746,13.83810516902976,13.28783572877018,13.5764,14.320921,13.414945,12.924824,13.748210931984971
Clear Sky,12.950955426465784,14.958239761554909,14.31404857896853,14.423191,13.958624,14.583019,14.474934,14.547909417071835
Clear Sky,12.977049763333332,11.862522967062356,11.49486968565502,12.964784,13.594208,6.578543,11.012241,11.99008131748226
Clear Sky,12.97988319716074,10.508702329452206,10.897552107424042,11.06051,11.925997,11.8638315,10.498047,11.25340816060728
Clear Sky,12.995347027333333,10.848230066503898,11.857878573322308,13.414484,11.99266,10.094512,10.592816,13.467954425744308
Clear Sky,13.009778815333334,12.981320693678024,11.556433333082625,12.443161,12.151137,12.619853,11.388825,13.309815432932842
Clear Sky,13.04027303032755,7.134755692444998,10.098512499083522,7.5109096,8.8934355,3.9996336,8.490949,10.319980130915384
Clear Sky,13.049690476,10.597721149572909,11.317219962712985,12.5783205,9.987179,6.718155,8.809305,11.576492008517336
Clear Sky,13.058141864666666,11.635476234786186,11.726546416044371,12.30449,13.9133005,13.244446,10.768105,12.254627772680951
Clear Sky,13.075323517733333,13.770703364812356,15.14218870256896,12.531356,13.583499,12.200747,14.299517,13.715352479285023
Clear Sky,13.086828829333331,13.84016306665816,12.85007974222877,12.892335,15.648103,12.659432,12.490348,12.587824967486956
Clear Sky,13.101614837333337,13.163829141686383,12.647717608935002,13.598829,13.728938,12.954505,12.786256,12.437054799103407
Clear Sky,13.117719350700566,14.703075051435736,14.21512845295038,14.4540615,15.474365,14.808472,14.395672,13.966219007089936
Clear Sky,13.129435787128257,6.497631948019669,8.94074729987601,9.057989,9.939605,8.011957,7.568033,8.426459598491537
Clear Sky,13.149283467973651,14.637248714065962,14.319079953005392,14.635374,14.465902,14.37049,15.755611,14.341384105692963
Clear Sky,13.151570570666667,12.74901531286915,11.232985385130585,12.326778,12.7027645,11.549637,11.715967,12.911790136847614
Clear Sky,13.179032639333334,13.497977039570904,12.694756494651177,13.470405,14.551023,13.956641,12.224069,12.288461132398403
Clear Sky,13.19309846315386,13.209383194511522,13.007959275880884,13.922165,15.021809,13.861316,12.756653,13.146238974465554
Clear Sky,13.200921543333331,11.837202222009076,12.078462445362842,14.461916,11.807579,12.254681,12.59717,13.990824652873052
Clear Sky,13.214433177833977,11.668749506721763,11.555211569947984,11.3045,12.2392235,11.688998,10.986796,11.86783470050197
Clear Sky,13.243403128000002,11.944204537015672,11.538914866381925,12.327751,13.262644,13.225191,12.311398,12.113150075077751
Clear Sky,13.245848286666666,11.6137928760951,11.232985385130585,12.422123,11.656013,11.39611,11.5596485,12.881902306350662
Clear Sky,13.288602723333334,11.606020674059565,11.726546416044371,11.30401,13.942957,12.553212,10.052017,12.175485052761928
Clear Sky,13.291334137999998,11.136428996166662,11.708846536552104,13.065324,13.28314,12.578169,10.619461,11.361595183097757
Clear Sky,13.308687056309871,14.880569829745456,14.718840902173682,16.040337,15.800804,17.045002,12.286067,14.103677768111885
Clear Sky,13.324538262,12.779161269158426,13.007959275880884,12.8815,14.576327,13.831716,13.094323,12.869603171643805
Clear Sky,13.340734848,11.208915214162346,12.34985278095442,13.523149,12.000795,12.478464,11.072248,12.341763475221208
Clear Sky,13.379912321333334,13.506688014056534,13.677562105662904,13.4098015,12.821665,11.523658,12.589654,13.236584814407523
Clear Sky,13.387066568364796,15.604163823739434,15.366237827107872,15.027928,15.734465,15.271797,15.056207,15.44191432092982
Clear Sky,13.410936370666668,13.577776685946766,13.007959275880884,13.043386,14.898477,12.935668,12.507675,12.310262645191075
Clear Sky,13.51985864566748,13.693178579488984,13.218728611611343,14.053657,14.490045,14.272938,13.334093,12.800803553995468
Clear Sky,13.521985811333332,10.299957717926224,11.772551345728466,12.068271,11.602443,9.144404,9.8713255,12.332286591207458
Clear Sky,13.530072623333332,14.266465355204565,12.864042828715707,14.036087,15.199295,10.187335,12.347768,14.433704057423531
Clear Sky,13.538795242666666,12.048875230030838,11.580587958643068,12.320731,12.968444,12.560216,11.227142,12.661353146850448
Clear Sky,13.544156762541098,11.571316795317628,11.00919479537289,11.330867,10.944297,11.230485,11.42331,11.288601212701408
Clear Sky,13.548207306133332,13.737561820956856,13.168158557872085,14.516858,13.909099,13.457181,12.896241,13.935862525333034
Clear Sky,13.55386106,13.339843927390229,11.942551248067613,12.405249,14.530972,13.582766,11.122084,12.728967886767984
Clear Sky,13.563943846419372,9.66291230193498,9.915484723144594,9.233013,10.824649,10.113632,9.119301,10.464359673196135
Clear Sky,13.589314554000005,13.005569691013113,14.007904144347416,11.72521,13.017252,9.840467,11.979031,12.689869245133345
Clear Sky,13.619871800666669,12.38845106567365,13.907735288527611,11.975523,11.694193,12.297862,11.876246,13.038600088488549
Clear Sky,13.630477992666668,13.41935818346963,14.007904144347416,12.138568,13.226241,12.516279,12.379045,12.94906127820764
Clear Sky,13.711000001333332,13.047575721382662,13.007959275880884,12.978495,15.025657,14.003381,12.816193,12.659089046947951
Clear Sky,13.722796103333332,10.835686297408785,11.720714266140307,12.858319,11.25723,10.845942,14.273444,11.866165175928373
Clear Sky,13.786085890597496,14.930220124847551,14.547811837923126,15.152013,15.807659,14.626201,14.192969,15.08273154774507
Clear Sky,13.816318531662208,14.789862748295583,14.452002906204491,15.073389,15.749324,15.387679,14.983471,14.071598817620394
Clear Sky,13.818615703407469,13.123385799547174,12.940658906687142,12.921357,13.34458,12.859154,12.584153,12.916937000681626
Clear Sky,13.899245683064834,13.200866456765718,12.940658906687142,13.424389,13.756056,12.93761,12.146771,12.975412876400991
