Regime,Model,Absolute Error (kW)
Clear Sky,CNN,0.3378954240000027
Clear Sky,CNN,0.649172904666667
Clear Sky,CNN,0.7320338746666728
Clear Sky,CNN,0.8262708833333363
Clear Sky,CNN,0.6168902333333328
Clear Sky,CNN,0.653590527333332
Clear Sky,CNN,0.4272357433333376
Clear Sky,CNN,0.34356486799999786
Clear Sky,CNN,0.4465531893333363
Clear Sky,CNN,0.5965065273333323
Clear Sky,CNN,0.5271406479999996
Clear Sky,CNN,0.1799452840000022
Clear Sky,CNN,0.1577820600000006
Clear Sky,CNN,0.23021526200000153
Clear Sky,CNN,0.2845151959999974
Clear Sky,CNN,0.1990644132666688
Clear Sky,CNN,0.05791988886666566
Clear Sky,CNN,0.04282393993333322
Clear Sky,CNN,0.25792572146666615
Clear Sky,CNN,0.37952665019999987
Clear Sky,CNN,0.8087959835333329
Clear Sky,CNN,0.978015057066667
Clear Sky,CNN,1.3073742611333334
Clear Sky,CNN,1.2826039958666668
Clear Sky,CNN,0.1382560386666667
Clear Sky,CNN,0.12171579666666676
Clear Sky,CNN,0.5133259280666668
Clear Sky,CNN,0.5616497724
Clear Sky,CNN,0.15684899833333343
Clear Sky,CNN,0.013025092866665311
Clear Sky,CNN,0.06699267639999995
Clear Sky,CNN,0.5533137568666664
Clear Sky,CNN,1.247733132933332
Clear Sky,CNN,1.4027571180000002
Clear Sky,CNN,1.430926542
Clear Sky,CNN,1.352511862
Clear Sky,CNN,1.334804917333333
Clear Sky,CNN,1.026227687333332
Clear Sky,CNN,0.8755588559999978
Clear Sky,CNN,0.6203710600000001
Clear Sky,CNN,0.6025907906666639
Clear Sky,CNN,0.20312361533333245
Clear Sky,CNN,0.05470910266667062
Clear Sky,CNN,0.02858254666666582
Clear Sky,CNN,0.12226768999999749
Clear Sky,CNN,0.14654634600000094
Clear Sky,CNN,0.16229803733332915
Clear Sky,CNN,0.10877639800000338
Clear Sky,CNN,0.20640630333333476
Clear Sky,CNN,0.2402436719999983
Clear Sky,CNN,0.3593716846666659
Clear Sky,CNN,0.36260774133332774
Clear Sky,CNN,0.5897265213333327
Clear Sky,CNN,0.6084363699999997
Clear Sky,CNN,1.1503539855553058
Clear Sky,CNN,1.8579250850987457
Clear Sky,CNN,2.0287787026924455
Clear Sky,CNN,1.01867578064644
Clear Sky,CNN,0.6260859681194901
Clear Sky,CNN,0.8402783464186108
Clear Sky,CNN,1.8424301004747434
Clear Sky,CNN,1.1281141138947888
Clear Sky,CNN,0.5477175852372085
Clear Sky,CNN,0.3372160228997565
Clear Sky,CNN,0.7944118253108634
Clear Sky,CNN,0.4824485336968394
Clear Sky,CNN,0.1278179063938616
Clear Sky,CNN,0.43644546315385924
Clear Sky,CNN,0.8158944376502983
Clear Sky,CNN,1.0709889014559781
Clear Sky,CNN,1.0593254451963503
Clear Sky,CNN,0.858154206127713
Clear Sky,CNN,1.1712791266480904
Clear Sky,CNN,1.1855682262547402
Clear Sky,CNN,0.6121996895030741
Clear Sky,CNN,0.5852455130858778
Clear Sky,CNN,0.11744230267838374
Clear Sky,CNN,0.24217110055753532
Clear Sky,CNN,0.3226783068
Clear Sky,CNN,0.4299644964
Clear Sky,CNN,0.011205857800000052
Clear Sky,CNN,0.12708010893333377
Clear Sky,CNN,0.09061397740000032
Clear Sky,CNN,0.2593889468666668
Clear Sky,CNN,0.3944257819333341
Clear Sky,CNN,0.9392226344666668
Clear Sky,CNN,1.3936821913333324
Clear Sky,CNN,1.5583887788666662
Clear Sky,CNN,1.6037662926666645
Clear Sky,CNN,1.435603570666668
Clear Sky,CNN,1.4723516473333351
Clear Sky,CNN,1.3295225720000001
Clear Sky,CNN,1.168036961333332
Clear Sky,CNN,0.9204872853333335
Clear Sky,CNN,0.9366797926666628
Clear Sky,CNN,0.4907000066666676
Clear Sky,CNN,0.4440322873333322
Clear Sky,CNN,0.33020044466666576
Clear Sky,CNN,0.05655406066666657
Clear Sky,CNN,0.07167354733333653
Clear Sky,CNN,0.2535505459999996
Clear Sky,CNN,0.4508863553333313
Clear Sky,CNN,0.029610346000001897
Clear Sky,CNN,0.5158150900000003
Clear Sky,CNN,0.9719750613333318
Clear Sky,CNN,1.2578720666666676
Clear Sky,CNN,1.3162342453333302
Clear Sky,CNN,1.3338885820000002
Clear Sky,CNN,1.3974832406666664
Clear Sky,CNN,1.251994739333334
Clear Sky,CNN,1.1720095053333317
Clear Sky,CNN,1.0021565113333288
Clear Sky,CNN,0.9075081360000006
Clear Sky,CNN,0.6701021413333343
Clear Sky,CNN,0.6251601406666687
Clear Sky,CNN,0.7347470873333322
Clear Sky,CNN,0.6827092333333304
Clear Sky,CNN,0.5831850273333359
Clear Sky,CNN,0.8070085633333335
Clear Sky,CNN,1.0301378573333348
Clear Sky,CNN,1.1332318500000014
Clear Sky,CNN,1.2272026060000005
Clear Sky,CNN,1.1566705413333338
Clear Sky,CNN,1.0810136686666691
Clear Sky,CNN,0.8850083962666684
Clear Sky,CNN,0.7179499960666664
Clear Sky,CNN,0.3479288920666672
Clear Sky,CNN,0.05447333719999925
Clear Sky,CNN,0.6377351015333339
Clear Sky,CNN,0.8644734621999994
Clear Sky,CNN,1.2215502755333336
Clear Sky,CNN,1.1824088683333334
Clear Sky,CNN,0.2552639753333333
Clear Sky,CNN,0.5559245684666667
Clear Sky,CNN,0.9312064449333332
Clear Sky,CNN,1.0211578147999998
Clear Sky,CNN,0.7933973364666667
Clear Sky,CNN,0.5534854146666666
Clear Sky,CNN,0.4719715135333331
Clear Sky,CNN,0.06924918006666658
Clear Sky,CNN,0.801349626666668
Clear Sky,CNN,1.239532492466667
Clear Sky,CNN,1.3763484679999998
Clear Sky,CNN,1.6861997866666663
Clear Sky,CNN,2.0114641100000004
Clear Sky,CNN,2.078292943333331
Clear Sky,CNN,2.225716738666666
Clear Sky,CNN,2.191955162666666
Clear Sky,CNN,2.465671905333334
Clear Sky,CNN,2.0486878166666678
Clear Sky,CNN,2.2772315540000037
Clear Sky,CNN,2.102007170666667
Clear Sky,CNN,1.9954538206666683
Clear Sky,CNN,1.9453205973333318
Clear Sky,CNN,1.4642375293333316
Clear Sky,CNN,1.8115790720000007
Clear Sky,CNN,1.830287642666665
Clear Sky,CNN,2.0944214286666636
Clear Sky,CNN,1.9382007946666668
Clear Sky,CNN,1.6938237013333293
Clear Sky,CNN,2.051613094666667
Clear Sky,CNN,1.9410845220000006
Clear Sky,CNN,1.8899510473333336
Clear Sky,CNN,1.833007542666671
Clear Sky,CNN,2.0593131200000023
Clear Sky,CNN,2.1036560653333325
Clear Sky,CNN,2.4249645346666675
Clear Sky,CNN,2.474096463333332
Clear Sky,CNN,2.677675909999998
Clear Sky,CNN,2.389306008000002
Clear Sky,CNN,2.3185994226666686
Clear Sky,CNN,2.0301580553333274
Clear Sky,CNN,2.1636411773333286
Clear Sky,CNN,2.2703628266666662
Clear Sky,CNN,2.3934545820000004
Clear Sky,CNN,2.4048895813333306
Clear Sky,CNN,2.290036864666666
Clear Sky,CNN,2.1850811520000004
Clear Sky,CNN,1.989004745199999
