P_st_pu,I_F_PV
0.07335569386398196,0.1624705118171121
0.039264627506019154,0.3333411004712842
0.01321759481543732,0.6866180335248938
0.03358702267565434,0.18062821193333978
0.06667512759170946,0.10234596383170483
0.10387954569055374,0.07555889768490914
0.14244422328076403,0.05926015708304344
0.18088526626342719,0.018261234451471185
0.21832545901833542,0.0011809863346472964
0.2541923742784093,0.01553827465438259
0.2880795241988131,0.016467380613460345
0.31967875024506864,0.027596207151390568
0.3487452978735696,0.026853777479237825
0.3750788281202107,0.024433011439584654
0.39851264549231663,0.024645946392136995
0.4189073674314043,0.03240909895317593
0.43614711234431364,0.0359485849808076
0.45013716154278643,0.03531546575492283
0.46080250451889393,0.014827026491028518
0.4680869383353432,0.006298415515316599
0.4719525185641555,0.0010247529992509538
0.4723792410510882,0.005696855953725417
0.4693648922228008,0.01804182940271147
0.4629250331960527,0.011938117410534407
0.453093115807707,0.01162735066857807
0.43992075510082695,0.01187502315231459
0.42347821206917086,0.025761266657070882
0.4038551954115192,0.02934734239447068
0.38116215383804625,0.024509075601199432
0.35553235192336496,0.011049391713731777
0.3271252473503942,0.003521004904236088
0.29613206137425796,0.0015237186084929011
0.2627851931235117,0.010297054081807606
0.22737466807178683,0.02057552251673388
0.19027803711904648,0.0029797596105508393
0.1520174829224134,0.003534949643111138
0.11337536124193812,0.006764504626790133
0.07549314904177706,0.04018067035406592
0.04105880824170052,0.06805041225466514
0.014356372236899848,0.1160596490734197
0.03360803996120802,0.1869008066636966
0.06674844361679094,0.11039485072772436
0.10402209272540895,0.08460145892625692
0.14266719326018013,0.06791732152279033
0.18119664717052064,0.04481125387201812
0.2187312675330214,0.03366661592357007
0.2546972720904756,0.02564431631326392
0.28868714556597774,0.024043938540765374
0.32039188647471684,0.018635324100138607
0.3495660066081242,0.019252272092893655
0.37600850111723766,0.02103378449863569
0.39955205259893933,0.021705966757251564
0.42005668646308403,0.019047367705614056
0.4374059504793063,0.018663613339518676
0.45150457149608625,0.016934476336506306
0.4622769973823677,0.009414174729883144
0.46966649413394435,0.004840898370210611
0.47363459498466187,0.0015186357995281249
0.47416078027264835,0.0010677847542906792
0.47124232534921473,0.006084949260112086
0.4648942812420337,0.007094944195226494
0.45514958542072315,0.009550139592260335
0.442059326167807,0.012444134193189887
0.4256932126833827,0.01914170163363448
0.40614035689579936,0.02389902661634043
0.3835105339509294,0.023117223329924864
0.35793620623789535,0.018482170179257643
0.32957581404773884,0.01691834380470098
0.2986191968154294,0.020856632994526184
0.2652967403319921,0.020383668229624407
0.2298953255821363,0.02239066908167696
0.1927872441938428,0.040864513818849306
0.15448525423196147,0.05865806674296324
0.11575358489827753,0.08026601922024489
0.07769363161001124,0.11360190584569979
0.04291877144762032,0.22601148353248252
0.01556642437847335,0.4587760766310101
0.033696306782530015,0.1964526748656361
0.0669063717152652,0.11478733517617637
0.10425900724665929,0.08763695435597037
0.14299033665689811,0.06957657054403821
0.1816118336519571,0.03639879258584959
0.21924320765462765,0.02076315804297697
0.25530977172519,0.009167659839853175
0.2894032324987832,0.00770410293261194
0.3212138921708509,0.0008276273738286717
0.35049561997681566,0.0007682782821813234
0.37704680480314806,0.00251275868676275
0.4006995483657688,0.0029434976564306063
0.42131331374294434,0.00223784343885775
0.43877110067266645,0.00397397827658383
0.45297709963335725,0.004747636970995831
0.4638552320404834,0.0005992856009375317
0.47134824609187925,0.0006269723952225263
0.4754171647116251,0.0016213548861059108
0.47604096394254863,0.0021667367906556055
0.4732164187358744,0.004432355143953709
0.4669580803398549,0.001162572625699499
0.45729838190965133,0.00048034933728316855
0.4442878948294442,0.002181536129123257
0.42799578622097945,0.0002674319987671545
0.4085105808799097,0.0015088067334002014
0.38594139006890577,0.0028809148642063805
0.3604198840429692,0.005391823259370046
0.3321034968489099,0.0073694804222387824
0.30118069998695535,0.010212793489369194
0.2678798863167283,0.014229608883619042
0.2324848279129251,0.01906652919269683
0.19536262860559037,0.021751458827682417
0.1570167804894107,0.02904577470139224
0.11819376282227186,0.042726485236848376
0.07995575659708799,0.07151926331525355
0.04484367044906138,0.1354970080132729
0.01684840628198049,0.24308757688082988
0.033852239571486205,0.03321524297920569
0.06714929895688634,0.021109992596678513
0.10459060542003817,0.017731550978027172
0.14341387872900357,0.014257542564110017
0.18213094854017725,0.022741806148415155
0.21986129244148675,0.026273358595082088
0.2560297715299895,0.029328231349082145
0.290227565303469,0.028374606649341452
0.3221444274188472,0.031247451483492998
0.3515336766088323,0.03112040488531089
0.3781931559187377,0.03086740537600001
0.4019544279433092,0.03140650630435069
0.42267642380536047,0.034241810693355225
0.44024161846513954,0.03611573786170504
0.4545536847399272,0.03372622176967476
0.46553603336941557,0.011755036554366672
0.4731309086216497,0.0020685846576736226
0.4772988357298785,0.007899219583847063
0.4780182982472655,0.013976459568571107
0.47528558199304594,0.028292243173444503
0.46911474935331,0.025613286961997887
0.45953773985448815,0.02851272028636325
0.4466046185169528,0.03231719079416836
0.43038402083937316,0.04957110840899051
0.41096389496126284,0.05787835642089463
0.38845269895795415,0.04702651492361598
0.36298132226537433,0.021233670724492462
0.3347062054951757,0.0045959796701756876
0.30381446841796284,0.0010479487851211156
0.27053253468146576,0.022789518312338383
0.23514110808841548,0.04451051852322037
0.19800218404684058,0.023075847984098886
