P_phys_line,I_F_line
0.5544646574727734,0.02316801078934601
0.5654723921806152,0.022220312328934753
0.5766986624105415,0.02128291788792248
0.588147806727723,0.020355811257231432
0.5998242498304571,0.019438986604392257
0.6117325042601601,0.018532449429417723
0.6238771721453087,0.017636217671125217
0.6362629469800037,0.01675032299423475
0.648894615437843,0.015874812295282217
0.6617770592218051,0.015009749475500761
0.6749152569508589,0.014155217542235848
0.6883142860840272,0.013311321118466089
0.7019793248826499,0.012478189464500493
0.7159156544116019,0.011655980149747383
0.7301286605802427,0.010844883559907875
0.7446238362238838,0.010045128492734166
0.7594067832265797,0.009256989194258944
0.7744832146860622,0.008480794334544997
0.7898589571216552,0.0077169386467913804
0.8055399527260227,0.0069658983069886575
0.8215322616616214,0.006228251705302259
0.8378420644027428,0.005504708228953691
0.8544756641240537,0.0047961493858124605
0.8714394891365549,0.004103689781098256
0.8887400953719007,0.003428771787896692
0.9063841689160405,0.002773321406875882
0.924378528593159,0.0021400255707936934
0.9427301286009165,0.0015328819468626053
0.9614460611980056,0.0009584833708821143
0.9805335594450634,0.00043002855255001887
1.0,0.0
