P_phys,I_F
0.553146798253867,0.0332290133903548
0.5188703268518755,0.17703647359913469
0.4796476197941095,0.38197259590130855
0.43534746509810135,0.3064009988760798
0.38571742264619485,0.1918011086338571
0.33055135516962186,0.02993734491418012
0.2697962972090414,0.03878978120352399
0.20304736270375243,0.1608759180776253
0.15954040074861903,0.16650961584419557
0.21604506796878994,0.11789004915707674
0.2717429096260474,0.06740865939216338
0.32517397443748525,0.038840948287830544
0.3756294471736778,0.052006895557256114
0.42256988484077473,0.026417871094407328
0.46571481256853337,0.04652749318230692
0.5049336366024958,0.15431779075759677
0.5400205323071429,0.2644187890551614
0.5709087053048855,0.11081019541352892
0.5976855747473633,0.15901806793612502
0.6204089558242073,0.05123658906867636
0.6388212550666513,0.004363936536221881
0.6530410606461835,0.024923694627995454
0.6629929762773706,0.0050843998481246355
0.6688818381171102,0.0074676095953467685
0.6706225009430278,0.005157244862467944
0.6677350644323243,0.020471561074318006
0.6606924396053517,0.01098225614308194
0.6492405144755568,0.010273462756362406
0.6337341063248305,0.018042058115457955
0.6132646050452304,0.0350869463702252
0.588297929200615,0.03041519870096369
0.5587766648938322,0.005483741380825655
0.5242387980413786,0.06648670635114244
0.48481103776609846,0.04061330610281811
0.44025000377668483,0.05510953911566631
0.3906015869933989,0.28113428227868
0.3353291910821132,0.04914845402013099
0.2745581735662533,0.03794921059774637
0.2077508953657217,0.16509192004010975
0.16088406593895915,0.17082912645545123
0.217818990041606,0.08370034172523533
0.2740021368728294,0.026139027538121425
0.32782074924552057,0.0709095215394416
0.37857659947351263,0.07169836080892547
0.42587455991486584,0.08881663588981054
0.4691491539417642,0.04096773720644961
0.5083896350769187,0.06964868389544351
0.5434666368613367,0.02820196101637527
0.574162077500389,0.017891784975900566
0.6006551396355235,0.028759527966175355
0.6228301799435109,0.02029175952854142
0.6408184985685141,0.007844015657132193
0.6544259051569259,0.0037857944425785848
0.6640115582069238,0.002443841335003348
0.669209204307759,0.0027437515797478643
0.6704801256485465,0.015575943128107983
0.6672856810259417,0.02584904597303673
